Date,BALANCA_COMERCIAL,BALTIC_DRY,CDS,CUSTO_LOGISTICA,DIVIDA_PUBLICA,DI_FUTURO,DOLAR,ENERGIA,FRETES,INVESTIMENTO_ESTRANGEIRO,MILHO_BR,MILHO_US,PIB_BR,RESERVAS_INTERNACIONAIS,SELIC,SOJA_BR,SOJA_US
2020-12-21,-1912.4608695652173,210071.7442748092,-40257493.782608695,48903.41954198474,-5.420434782608695,0.007469,5.100599765777588,1792.7391304347825,34243.65217391304,2499.6434782608694,30804.217391304348,440.0,689361.7956521739,357473.0,2.0,78761.0,1243.25
2020-12-22,-1944.4652173913043,210075.3282442748,-41212796.69565217,48911.11625954199,-5.4626086956521736,0.007469,5.118937969207764,1787.4347826086955,33966.913043478264,2599.4608695652178,30261.304347826088,443.5,688180.1739130435,355390.0,2.0,78761.0,1247.25
2020-12-23,-1976.469565217392,210078.9122137405,-42168099.608695656,48918.81297709924,-5.504782608695652,0.007469,5.1566548347473145,1782.1304347826087,33690.17391304348,2699.278260869565,29718.391304347824,447.25,686998.552173913,355470.0,2.0,78761.0,1258.75
2020-12-24,-2008.4739130434784,210082.4961832061,-43123402.52173913,48926.50969465649,-5.54695652173913,0.007469,5.2153000831604,1776.8260869565215,33413.434782608696,2799.095652173913,29175.478260869568,451.0,685816.9304347825,355622.0,2.0,78761.0,1263.5
2020-12-25,-2040.478260869565,210086.08015267176,-44078705.43478261,48934.20641221375,-5.589130434782609,0.007469,5.2153000831604,1771.5217391304348,33136.69565217391,2898.913043478261,28632.565217391304,453.75,684635.3086956522,355618.5,2.0,78761.0,1259.375
2020-12-28,-2072.4826086956523,210089.66412213744,-45034008.347826086,48941.903129771,-5.631304347826087,0.007469,5.2153000831604,1766.2173913043478,32859.95652173913,2998.730434782609,28089.652173913044,456.5,683453.6869565217,355615.0,2.0,78761.0,1255.25
2020-12-29,-2104.486956521739,210093.24809160305,-45989311.26086956,48949.599847328245,-5.673478260869565,0.007469,5.2459001541137695,1760.913043478261,32583.217391304348,3098.547826086957,27546.739130434784,466.0,682272.0652173912,355837.0,2.0,78761.0,1295.5
2020-12-30,-2136.491304347826,210096.8320610687,-46944614.17391305,48957.296564885495,-5.715652173913044,0.007469,5.208600044250488,1755.608695652174,32306.478260869564,3198.365217391304,27003.82608695652,474.5,681090.4434782609,355517.0,2.0,78761.0,1303.75
2020-12-31,-2168.495652173913,210100.4160305344,-47899917.08695652,48964.99328244275,-5.757826086956522,0.007469,5.190838813781738,1750.304347826087,32029.739130434784,3298.182608695653,26460.91304347826,484.0,679908.8217391304,355620.0,2.0,78761.0,1315.25
2021-01-01,-2200.5,210104.0,-48855220.0,48972.69,-5.8,0.007469,5.1921000480651855,1745.0,31753.0,3398.0,25918.0,483.875,678727.2,355690.0,2.0,78761.0,1315.875
2021-01-04,-2094.3714285714286,210104.0,-48582829.95238096,48972.69,-5.8,0.007469,5.19189977645874,1747.190476190476,31675.85714285714,3652.276190476191,26258.28571428572,483.75,680093.1428571428,355760.0,2.0,78761.0,1316.5
2021-01-05,-1988.2428571428568,210104.0,-48310439.9047619,48972.69,-5.8,0.007469,5.295300006866455,1749.3809523809523,31598.714285714286,3906.552380952381,26598.571428571428,491.75,681459.0857142857,355847.0,2.0,78761.0,1350.0
2021-01-06,-1882.1142857142856,210104.0,-48038049.85714286,48972.69,-5.8,0.007469,5.28410005569458,1751.571428571429,31521.571428571428,4160.828571428571,26938.85714285714,495.0,682825.0285714285,355515.0,2.0,78761.0,1365.25
2021-01-07,-1775.9857142857145,210104.0,-47765659.809523806,48972.69,-5.8,0.007469,5.312900066375732,1753.7619047619048,31444.42857142857,4415.104761904762,27279.14285714286,494.0,684190.9714285714,355437.0,2.0,78761.0,1360.5
2021-01-08,-1669.857142857143,210104.0,-47493269.76190476,48972.69,-5.8,0.007469,5.40880012512207,1755.952380952381,31367.28571428572,4669.380952380952,27619.42857142857,496.25,685556.9142857143,355244.0,2.0,78761.0,1375.75
2021-01-11,-1563.7285714285715,210104.0,-47220879.71428572,48972.69,-5.8,0.007469,5.412188053131104,1758.142857142857,31290.14285714286,4923.657142857142,27959.714285714286,492.25,686922.8571428572,354778.0,2.0,78761.0,1374.5
2021-01-12,-1457.6,210104.0,-46948489.66666666,48972.69,-5.8,0.007469,5.48769998550415,1760.3333333333333,31213.0,5177.9333333333325,28300.0,517.25,688288.7999999999,354710.0,2.0,78761.0,1422.0
2021-01-13,-1351.4714285714283,210104.0,-46676099.61904762,48972.69,-5.8,0.007469,5.321400165557861,1762.5238095238096,31135.85714285714,5432.209523809524,28640.28571428572,524.5,689654.7428571428,354932.0,2.0,78761.0,1411.0
2021-01-14,-1245.3428571428572,210104.0,-46403709.571428575,48972.69,-5.8,0.007469,5.297500133514404,1764.7142857142858,31058.714285714286,5686.4857142857145,28980.571428571428,534.25,691020.6857142857,354988.0,2.0,78761.0,1436.5
2021-01-15,-1139.2142857142858,210104.0,-46131319.52380952,48972.69,-5.8,0.007469,5.195799827575684,1766.904761904762,30981.571428571428,5940.761904761905,29320.85714285714,531.5,692386.6285714286,354801.0,2.0,78761.0,1416.75
2021-01-18,-1033.0857142857144,210104.0,-45858929.47619048,48972.69,-5.8,0.007469,5.291299819946289,1769.095238095238,30904.42857142857,6195.038095238095,29661.14285714285,528.75,693752.5714285714,354796.0,2.0,78761.0,1401.25
2021-01-19,-926.957142857143,210104.0,-45586539.42857143,48972.69,-5.8,0.007469,5.2947998046875,1771.2857142857142,30827.28571428572,6449.314285714285,30001.42857142857,526.0,695118.5142857142,355050.0,2.0,78761.0,1385.75
