Date,Value,source,feature_code,description
2020-02-20,359035.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-20,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-21,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-21,4.392300128936768,yahoo,DOLAR,Dólar/Real
2020-02-21,377.0,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-21,4.25,bcb,SELIC,Taxa Selic
2020-02-21,359602.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-21,890.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-22,4.25,bcb,SELIC,Taxa Selic
2020-02-23,4.25,bcb,SELIC,Taxa Selic
2020-02-24,4.25,bcb,SELIC,Taxa Selic
2020-02-24,4.389800071716309,yahoo,DOLAR,Dólar/Real
2020-02-24,372.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-24,874.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-25,879.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-25,372.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-25,4.25,bcb,SELIC,Taxa Selic
2020-02-25,4.386600017547607,yahoo,DOLAR,Dólar/Real
2020-02-26,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-26,370.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-26,4.3867998123168945,yahoo,DOLAR,Dólar/Real
2020-02-26,360578.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-26,4.25,bcb,SELIC,Taxa Selic
2020-02-26,881.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-27,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-27,361400.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-27,4.449100017547607,yahoo,DOLAR,Dólar/Real
2020-02-27,4.25,bcb,SELIC,Taxa Selic
2020-02-27,364.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-27,886.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-28,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-28,362460.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-28,883.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-28,366.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-28,4.484799861907959,yahoo,DOLAR,Dólar/Real
2020-02-28,4.25,bcb,SELIC,Taxa Selic
2020-02-29,4.25,bcb,SELIC,Taxa Selic
2020-03-01,30772.0,bcb,MILHO_BR,Milho Brasil - Preço Médio Atacado
2020-03-01,1712.0,bcb,ENERGIA,Energia Elétrica
2020-03-01,24554.0,bcb,FRETES,Índice de Fretes
2020-03-01,-8.3,bcb,DIVIDA_PUBLICA,Dívida Pública
2020-03-01,-41538710.0,bcb,CDS,Brazil CDS 5Y
2020-03-01,2297.1,bcb,BALANCA_COMERCIAL,Balança Comercial
2020-03-01,635843.8,bcb,PIB_BR,PIB Brasil
2020-03-01,95630.0,bcb,SOJA_BR,Soja Brasil - Preço Médio Atacado
2020-03-01,4.25,bcb,SELIC,Taxa Selic
2020-03-01,7810.4,bcb,INVESTIMENTO_ESTRANGEIRO,Investimento Estrangeiro
2020-03-02,374.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-02,890.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-02,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-02,4.25,bcb,SELIC,Taxa Selic
2020-03-02,363863.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-02,4.441299915313721,yahoo,DOLAR,Dólar/Real
2020-03-03,4.472400188446045,yahoo,DOLAR,Dólar/Real
2020-03-03,893.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-03,4.25,bcb,SELIC,Taxa Selic
2020-03-03,364853.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-03,381.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-03,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-04,4.513199806213379,yahoo,DOLAR,Dólar/Real
2020-03-04,4.25,bcb,SELIC,Taxa Selic
2020-03-04,387.0,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-04,365655.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-04,898.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-04,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-05,4.583399772644043,yahoo,DOLAR,Dólar/Real
2020-03-05,4.25,bcb,SELIC,Taxa Selic
2020-03-05,889.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-05,384.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-05,366210.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-05,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-06,377.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-06,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-06,4.606200218200684,yahoo,DOLAR,Dólar/Real
2020-03-06,367386.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-06,4.25,bcb,SELIC,Taxa Selic
2020-03-06,883.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-07,4.25,bcb,SELIC,Taxa Selic
2020-03-08,4.25,bcb,SELIC,Taxa Selic
2020-03-09,4.25,bcb,SELIC,Taxa Selic
2020-03-09,863.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-09,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-09,4.589799880981445,yahoo,DOLAR,Dólar/Real
2020-03-09,374.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-09,367568.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-10,380.0,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-10,366669.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-10,4.722899913787842,yahoo,DOLAR,Dólar/Real
2020-03-10,873.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-10,4.25,bcb,SELIC,Taxa Selic
2020-03-10,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-11,4.25,bcb,SELIC,Taxa Selic
2020-03-11,361480.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-11,867.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-11,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-11,379.25,yahoo,MILHO_US,Milho EUA (Futuros)
