Date,Value,feature_code,source,description
2020-01-13,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-13,4.5,SELIC,bcb,Taxa Selic
2020-01-13,81757.13846153846,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-13,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-14,-2152.693846153846,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-14,209197.25572519083,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-14,-43901018.676923074,CDS,bcb,Brazil CDS 5Y
2020-01-14,47025.42045801527,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-14,-5.145076923076923,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-14,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-14,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-14,1720.3793103448277,ENERGIA,bcb,Energia Elétrica
2020-01-14,27105.36923076924,FRETES,bcb,Índice de Fretes
2020-01-14,2580.1046153846155,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-14,18702.33846153846,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-14,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-14,607589.823076923,PIB_BR,bcb,PIB Brasil
2020-01-14,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-14,4.5,SELIC,bcb,Taxa Selic
2020-01-14,80421.03076923077,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-14,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-15,-2026.9153846153845,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-15,209200.8396946565,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-15,-43805328.307692304,CDS,bcb,Brazil CDS 5Y
2020-01-15,47033.11717557252,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-15,-5.222307692307693,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-15,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-15,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-15,1717.9770114942528,ENERGIA,bcb,Energia Elétrica
2020-01-15,26833.07692307692,FRETES,bcb,Índice de Fretes
2020-01-15,2551.438461538461,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-15,18497.153846153848,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-15,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-15,606882.2923076922,PIB_BR,bcb,PIB Brasil
2020-01-15,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-15,4.5,SELIC,bcb,Taxa Selic
2020-01-15,79084.92307692308,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-15,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-16,-1901.136923076923,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-16,209204.4236641221,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-16,-43709637.93846154,CDS,bcb,Brazil CDS 5Y
2020-01-16,47040.81389312977,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-16,-5.299538461538462,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-16,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-16,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-16,1715.574712643678,ENERGIA,bcb,Energia Elétrica
2020-01-16,26560.78461538461,FRETES,bcb,Índice de Fretes
2020-01-16,2522.7723076923075,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-16,18291.96923076923,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-16,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-16,606174.7615384615,PIB_BR,bcb,PIB Brasil
2020-01-16,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-16,4.5,SELIC,bcb,Taxa Selic
2020-01-16,77748.81538461539,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-16,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-17,-1775.3584615384616,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-17,209208.00763358772,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-17,-43613947.56923077,CDS,bcb,Brazil CDS 5Y
2020-01-17,47048.51061068702,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-17,-5.376769230769231,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-17,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-17,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-17,1713.1724137931035,ENERGIA,bcb,Energia Elétrica
2020-01-17,26288.492307692308,FRETES,bcb,Índice de Fretes
2020-01-17,2494.1061538461536,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-17,18086.78461538461,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-17,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-17,605467.2307692308,PIB_BR,bcb,PIB Brasil
2020-01-17,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-17,4.5,SELIC,bcb,Taxa Selic
2020-01-17,76412.7076923077,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-17,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-20,-1649.58,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-20,209211.59160305344,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-20,-43518257.2,CDS,bcb,Brazil CDS 5Y
2020-01-20,47056.20732824428,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-20,-5.454000000000001,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-20,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-20,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-20,1710.7701149425288,ENERGIA,bcb,Energia Elétrica
2020-01-20,26016.2,FRETES,bcb,Índice de Fretes
2020-01-20,2465.44,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-20,17881.6,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-20,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-20,604759.7,PIB_BR,bcb,PIB Brasil
2020-01-20,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-20,4.5,SELIC,bcb,Taxa Selic
2020-01-20,75076.6,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-20,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-21,-1523.8015384615385,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-21,209215.17557251907,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-21,-43422566.83076923,CDS,bcb,Brazil CDS 5Y
2020-01-21,47063.90404580153,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-21,-5.53123076923077,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-21,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-21,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-21,1708.367816091954,ENERGIA,bcb,Energia Elétrica
2020-01-21,25743.907692307694,FRETES,bcb,Índice de Fretes
2020-01-21,2436.773846153846,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-21,17676.415384615386,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-21,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-21,604052.1692307692,PIB_BR,bcb,PIB Brasil
2020-01-21,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-21,4.5,SELIC,bcb,Taxa Selic
2020-01-21,73740.4923076923,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-21,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-22,-1398.0230769230768,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-22,209218.7595419848,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-22,-43326876.461538464,CDS,bcb,Brazil CDS 5Y
2020-01-22,47071.60076335878,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-22,-5.608461538461539,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-22,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-22,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-22,1705.9655172413793,ENERGIA,bcb,Energia Elétrica
2020-01-22,25471.615384615383,FRETES,bcb,Índice de Fretes
2020-01-22,2408.107692307692,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-22,17471.23076923077,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-22,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-22,603344.6384615385,PIB_BR,bcb,PIB Brasil
2020-01-22,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-22,4.5,SELIC,bcb,Taxa Selic
2020-01-22,72404.38461538461,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-22,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-23,-1272.2446153846154,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-23,209222.3435114504,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-23,-43231186.092307694,CDS,bcb,Brazil CDS 5Y
2020-01-23,47079.29748091603,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-23,-5.6856923076923085,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-23,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-23,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-23,1703.5632183908046,ENERGIA,bcb,Energia Elétrica
2020-01-23,25199.32307692308,FRETES,bcb,Índice de Fretes
2020-01-23,2379.4415384615386,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-23,17266.046153846153,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-23,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-23,602637.1076923077,PIB_BR,bcb,PIB Brasil
2020-01-23,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-23,4.5,SELIC,bcb,Taxa Selic
2020-01-23,71068.27692307692,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-23,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-24,-1146.4661538461537,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-24,209225.92748091603,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-24,-43135495.723076925,CDS,bcb,Brazil CDS 5Y
2020-01-24,47086.99419847329,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-24,-5.7629230769230775,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-24,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-24,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-24,1701.16091954023,ENERGIA,bcb,Energia Elétrica
2020-01-24,24927.03076923077,FRETES,bcb,Índice de Fretes
2020-01-24,2350.7753846153846,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-24,17060.861538461537,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-24,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-24,601929.5769230769,PIB_BR,bcb,PIB Brasil
2020-01-24,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-24,4.5,SELIC,bcb,Taxa Selic
2020-01-24,69732.16923076923,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-24,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-27,-1020.6876923076924,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-27,209229.5114503817,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-27,-43039805.35384616,CDS,bcb,Brazil CDS 5Y
2020-01-27,47094.69091603054,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-27,-5.840153846153847,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-27,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-27,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-27,1698.7586206896551,ENERGIA,bcb,Energia Elétrica
2020-01-27,24654.73846153846,FRETES,bcb,Índice de Fretes
2020-01-27,2322.10923076923,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-27,16855.676923076924,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-27,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-27,601222.0461538461,PIB_BR,bcb,PIB Brasil
2020-01-27,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-27,4.5,SELIC,bcb,Taxa Selic
2020-01-27,68396.06153846154,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-27,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-28,-894.9092307692308,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-28,209233.0954198473,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-28,-42944114.984615386,CDS,bcb,Brazil CDS 5Y
2020-01-28,47102.38763358779,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-28,-5.917384615384616,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-28,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-28,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-28,1696.3563218390805,ENERGIA,bcb,Energia Elétrica
2020-01-28,24382.446153846155,FRETES,bcb,Índice de Fretes
2020-01-28,2293.4430769230767,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-28,16650.492307692308,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-28,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-28,600514.5153846154,PIB_BR,bcb,PIB Brasil
2020-01-28,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-28,4.5,SELIC,bcb,Taxa Selic
2020-01-28,67059.95384615385,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-28,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-29,-769.1307692307691,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-29,209236.67938931292,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-29,-42848424.615384616,CDS,bcb,Brazil CDS 5Y
2020-01-29,47110.08435114504,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-29,-5.9946153846153845,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-29,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-29,4.282599925994873,DOLAR,yahoo,Dólar/Real
