Date,Value,source,feature_code
2020-07-10,5.337800025939941,yahoo,DOLAR
2020-07-10,340.5,yahoo,MILHO_US
2020-07-13,5.326900005340576,yahoo,DOLAR
2020-07-13,876.5,yahoo,SOJA_US
2020-07-13,334.0,yahoo,MILHO_US
2020-07-14,882.25,yahoo,SOJA_US
2020-07-14,5.401500225067139,yahoo,DOLAR
2020-07-14,334.75,yahoo,MILHO_US
2020-07-15,5.366799831390381,yahoo,DOLAR
2020-07-15,326.25,yahoo,MILHO_US
2020-07-15,886.25,yahoo,SOJA_US
2020-07-16,5.366948127746582,yahoo,DOLAR
2020-07-16,330.25,yahoo,MILHO_US
2020-07-16,893.5,yahoo,SOJA_US
2020-07-17,5.330699920654297,yahoo,DOLAR
2020-07-17,333.0,yahoo,MILHO_US
2020-07-17,898.0,yahoo,SOJA_US
2020-07-20,903.0,yahoo,SOJA_US
2020-07-20,5.385300159454346,yahoo,DOLAR
2020-07-20,328.25,yahoo,MILHO_US
2020-07-21,896.5,yahoo,SOJA_US
2020-07-21,5.327700138092041,yahoo,DOLAR
2020-07-21,322.75,yahoo,MILHO_US
2020-07-22,899.25,yahoo,SOJA_US
2020-07-22,327.5,yahoo,MILHO_US
2020-07-22,5.1697998046875,yahoo,DOLAR
2020-07-23,328.0,yahoo,MILHO_US
2020-07-23,5.118100166320801,yahoo,DOLAR
2020-07-23,906.25,yahoo,SOJA_US
2020-07-24,5.210599899291992,yahoo,DOLAR
2020-07-24,326.25,yahoo,MILHO_US
2020-07-24,904.75,yahoo,SOJA_US
2020-07-27,325.0,yahoo,MILHO_US
2020-07-27,5.229100227355957,yahoo,DOLAR
2020-07-27,906.5,yahoo,SOJA_US
2020-07-28,5.141421794891357,yahoo,DOLAR
2020-07-28,320.0,yahoo,MILHO_US
2020-07-28,896.75,yahoo,SOJA_US
2020-07-29,315.5,yahoo,MILHO_US
2020-07-29,891.5,yahoo,SOJA_US
2020-07-29,5.152299880981445,yahoo,DOLAR
2020-07-30,315.75,yahoo,MILHO_US
